epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10329,0.17021,0.55005,0.95141,0.99843,0.99853,0.99498,0.98591,0.28549,0.34331,0.42129,0.0091882,0.0091882,0.0091882
43,10575.5,0.17152,0.54984,0.95259,0.99852,0.99848,0.99498,0.98391,0.28787,0.34868,0.42544,0.0091684,0.0091684,0.0091684
44,10822,0.17013,0.54636,0.95125,0.9987,0.99841,0.99499,0.98155,0.29056,0.35083,0.42988,0.0091486,0.0091486,0.0091486
45,11068.7,0.16697,0.53829,0.94926,0.99878,0.99842,0.99499,0.98131,0.28938,0.34865,0.42892,0.0091288,0.0091288,0.0091288
46,11315.2,0.17006,0.53674,0.95153,0.9988,0.99841,0.99499,0.98255,0.28494,0.33957,0.42248,0.009109,0.009109,0.009109
47,11561.7,0.16658,0.53778,0.94787,0.9989,0.99838,0.995,0.98386,0.28021,0.33228,0.41692,0.0090892,0.0090892,0.0090892
48,11808,0.16732,0.53204,0.9493,0.9989,0.99836,0.995,0.98414,0.27894,0.32758,0.41516,0.0090694,0.0090694,0.0090694
49,12054.3,0.16836,0.53387,0.95229,0.99895,0.99834,0.995,0.98416,0.27652,0.32189,0.41177,0.0090496,0.0090496,0.0090496
50,12300.6,0.16715,0.53107,0.94906,0.99899,0.99834,0.995,0.98409,0.2731,0.31436,0.40764,0.0090298,0.0090298,0.0090298
51,12547,0.16504,0.53235,0.94779,0.99916,0.99837,0.995,0.98446,0.26977,0.30541,0.40308,0.00901,0.00901,0.00901
52,12793.5,0.16439,0.52699,0.94834,0.99921,0.99838,0.99498,0.9846,0.26952,0.30013,0.40283,0.0089902,0.0089902,0.0089902
53,13040.1,inf,0.53078,0.94902,0.99919,0.99839,0.995,0.98585,0.26844,0.29718,0.40191,0.0089704,0.0089704,0.0089704
54,13286.6,0.16572,0.52525,0.95034,0.99919,0.99841,0.995,0.98703,0.26689,0.2955,0.40052,0.0089506,0.0089506,0.0089506
55,13533,0.1643,0.52402,0.94825,0.99922,0.99839,0.995,0.9871,0.26726,0.2953,0.40123,0.0089308,0.0089308,0.0089308
56,13779.2,0.16564,0.52666,0.94951,0.99922,0.99838,0.995,0.98735,0.26807,0.29778,0.40205,0.008911,0.008911,0.008911
57,14025.6,0.16265,0.5201,0.94674,0.99914,0.99838,0.995,0.9869,0.27123,0.30343,0.40644,0.0088912,0.0088912,0.0088912
58,14271.9,0.16446,0.52167,0.94894,0.9992,0.99836,0.995,0.98543,0.27369,0.30899,0.41116,0.0088714,0.0088714,0.0088714
59,14518.5,0.16293,0.51828,0.94642,0.9992,0.99835,0.995,0.9855,0.27352,0.31176,0.41198,0.0088516,0.0088516,0.0088516
60,14764.9,0.16507,0.52231,0.94896,0.99906,0.99834,0.995,0.9855,0.27355,0.31297,0.41212,0.0088318,0.0088318,0.0088318
61,15011.3,0.1611,0.51515,0.94681,0.99906,0.99835,0.995,0.98484,0.27355,0.31432,0.4127,0.008812,0.008812,0.008812
62,15257.7,0.16328,0.52109,0.94769,0.99904,0.99834,0.995,0.98337,0.27434,0.31809,0.41515,0.0087922,0.0087922,0.0087922
63,15504,0.16544,0.51576,0.9482,0.99912,0.99835,0.995,0.98387,0.27317,0.31668,0.41426,0.0087724,0.0087724,0.0087724
64,15750.5,0.16471,0.52015,0.94808,0.99914,0.99836,0.995,0.98348,0.27463,0.31662,0.41695,0.0087526,0.0087526,0.0087526
65,15996.9,0.16441,0.51404,0.94815,0.99923,0.99838,0.995,0.98261,0.27557,0.31597,0.41965,0.0087328,0.0087328,0.0087328
66,16243.1,0.1618,0.50664,0.9461,0.9992,0.99841,0.995,0.98032,0.27988,0.31393,0.42585,0.008713,0.008713,0.008713
67,16489.4,0.16263,0.51531,0.9467,0.9992,0.99845,0.995,0.97939,0.28362,0.30877,0.43199,0.0086932,0.0086932,0.0086932
68,16735.6,0.16134,0.50642,0.94708,0.9992,0.99847,0.995,0.97783,0.2991,0.30458,0.462,0.0086734,0.0086734,0.0086734
69,16981.8,0.1632,0.50929,0.94659,0.99923,0.99848,0.995,0.96515,0.36885,0.32679,0.60178,0.0086536,0.0086536,0.0086536
70,17228,0.16254,0.50485,0.94598,0.99922,0.99842,0.995,0.95785,0.40858,0.34899,0.67854,0.0086338,0.0086338,0.0086338
71,17474.5,0.16016,0.50009,0.94596,0.99929,0.99841,0.995,0.95973,0.41384,0.34459,0.68887,0.008614,0.008614,0.008614
72,17720.6,0.16179,0.50155,0.94614,0.99929,0.99843,0.995,0.95982,0.40911,0.33531,0.678,0.0085942,0.0085942,0.0085942
73,17967,0.16014,0.49899,0.94444,0.9993,0.99845,0.995,0.96303,0.40422,0.32771,0.66506,0.0085744,0.0085744,0.0085744
74,241.161,0.15729,0.49093,0.94581,0.99935,0.99847,0.995,0.96245,0.40622,0.32911,0.66715,0.0085546,0.0085546,0.0085546
75,483.405,inf,0.50457,0.94683,0.99936,0.99851,0.995,0.96023,0.40764,0.33254,0.67038,0.0085348,0.0085348,0.0085348
76,726.701,0.16064,0.50966,0.9464,0.99934,0.99857,0.995,0.9584,0.41272,0.34039,0.67746,0.008515,0.008515,0.008515
77,971.368,0.16085,0.51593,0.94642,0.99934,0.99861,0.995,0.95652,0.41766,0.35034,0.68567,0.0084952,0.0084952,0.0084952
78,1216.5,0.16087,0.51347,0.94683,0.99932,0.99862,0.995,0.95773,0.41536,0.34953,0.67965,0.0084754,0.0084754,0.0084754
79,1461.98,0.15877,0.50902,0.9455,0.99935,0.99865,0.995,0.96198,0.39702,0.33766,0.64382,0.0084556,0.0084556,0.0084556
80,1707.51,0.15987,0.50662,0.94541,0.99926,0.99887,0.995,0.96649,0.35759,0.31936,0.5675,0.0084358,0.0084358,0.0084358
81,1953.44,0.15992,0.50923,0.94651,0.9993,0.99885,0.995,0.97102,0.32362,0.30876,0.50248,0.008416,0.008416,0.008416
82,2199.55,0.16039,0.50689,0.94583,0.99927,0.99882,0.995,0.97348,0.29781,0.30726,0.45367,0.0083962,0.0083962,0.0083962
83,2445.71,0.15858,0.50325,0.94458,0.99902,0.99905,0.995,0.97583,0.28863,0.30809,0.43726,0.0083764,0.0083764,0.0083764
84,2691.83,0.15949,0.50415,0.94538,0.99883,0.99954,0.995,0.97805,0.28498,0.30717,0.4308,0.0083566,0.0083566,0.0083566
85,2937.93,0.15927,0.50409,0.94583,0.9989,0.99957,0.995,0.97954,0.28365,0.30718,0.42897,0.0083368,0.0083368,0.0083368
86,3184,0.16,0.50476,0.94726,0.99893,0.99953,0.995,0.9813,0.28421,0.30861,0.42914,0.008317,0.008317,0.008317
87,3430.07,0.1591,0.50192,0.94605,0.99892,0.99957,0.995,0.98211,0.28548,0.31171,0.43117,0.0082972,0.0082972,0.0082972
88,3676.08,0.15725,0.49692,0.94452,0.99892,0.99955,0.995,0.98299,0.28623,0.31588,0.43237,0.0082774,0.0082774,0.0082774
89,3922.14,0.1573,0.49911,0.94575,0.99892,0.99952,0.995,0.98374,0.28722,0.31614,0.43349,0.0082576,0.0082576,0.0082576
90,4168.25,0.15738,0.4991,0.94357,0.99888,0.99956,0.995,0.98427,0.28734,0.31711,0.43335,0.0082378,0.0082378,0.0082378
91,4414.13,0.15619,0.49543,0.94382,0.99907,0.99942,0.995,0.98377,0.2846,0.31401,0.42933,0.008218,0.008218,0.008218
92,4660,0.15836,0.49764,0.94552,0.99911,0.99945,0.995,0.98382,0.28202,0.30888,0.4253,0.0081982,0.0081982,0.0081982
93,4905.83,0.15878,0.49598,0.94491,0.9991,0.99948,0.995,0.98517,0.28257,0.30153,0.42606,0.0081784,0.0081784,0.0081784
94,5151.81,0.15943,0.49869,0.94525,0.99906,0.99952,0.995,0.98601,0.28762,0.2964,0.43363,0.0081586,0.0081586,0.0081586
95,5397.62,0.15753,0.49571,0.94475,0.99915,0.99954,0.995,0.98691,0.28588,0.29106,0.43054,0.0081388,0.0081388,0.0081388
96,5643.47,0.15746,0.49624,0.94414,0.99895,0.99965,0.995,0.98565,0.28879,0.29386,0.43355,0.008119,0.008119,0.008119
97,5889.54,0.15775,0.49476,0.94442,0.99899,0.99959,0.995,0.98516,0.287,0.29591,0.43028,0.0080992,0.0080992,0.0080992
98,6135.74,0.15402,0.49093,0.94399,0.99902,0.99957,0.995,0.98349,0.28351,0.29704,0.42587,0.0080794,0.0080794,0.0080794
99,6382.01,0.15551,0.48812,0.94273,0.99906,0.99948,0.995,0.98221,0.28487,0.30254,0.4278,0.0080596,0.0080596,0.0080596
100,6628.32,0.15616,0.48671,0.94269,0.99901,0.99964,0.995,0.98225,0.28664,0.3094,0.43065,0.0080398,0.0080398,0.0080398
101,6874.59,0.15416,0.48324,0.94266,0.99918,0.99958,0.995,0.98073,0.29335,0.317,0.43963,0.00802,0.00802,0.00802
102,7120.73,0.15452,0.48717,0.94115,0.99908,0.9996,0.995,0.98046,0.29812,0.31816,0.44474,0.0080002,0.0080002,0.0080002
103,7366.87,0.15436,0.4855,0.9421,0.99933,0.99949,0.995,0.98053,0.30011,0.31829,0.44691,0.0079804,0.0079804,0.0079804
104,7612.88,0.15352,0.48119,0.94292,0.99941,0.99949,0.995,0.97914,0.30075,0.32062,0.44759,0.0079606,0.0079606,0.0079606
105,7858.93,0.15435,0.48257,0.94176,0.99942,0.99949,0.995,0.9792,0.30294,0.3244,0.44922,0.0079408,0.0079408,0.0079408
106,8105.05,0.15328,0.48149,0.94182,0.9995,0.99958,0.995,0.97913,0.29616,0.31692,0.43972,0.007921,0.007921,0.007921
107,8351.08,0.15395,0.47971,0.943,0.99954,0.99958,0.995,0.98017,0.29731,0.32466,0.44036,0.0079012,0.0079012,0.0079012
108,8597.14,inf,0.48168,0.94251,0.99956,0.99959,0.995,0.98105,0.2988,0.32979,0.44194,0.0078814,0.0078814,0.0078814
109,8843.08,0.15921,0.48549,0.94338,0.99955,0.99959,0.995,0.9773,0.30677,0.33233,0.45339,0.0078616,0.0078616,0.0078616
110,9088.97,0.1549,0.48168,0.94286,0.99956,0.99962,0.995,0.97376,0.31515,0.32879,0.46673,0.0078418,0.0078418,0.0078418
111,9334.78,inf,0.47837,0.94183,0.99961,0.99962,0.995,0.97657,0.31025,0.32885,0.45824,0.007822,0.007822,0.007822
112,9580.57,0.15445,0.47677,0.9414,0.99963,0.99961,0.995,0.97536,0.31433,0.3289,0.46339,0.0078022,0.0078022,0.0078022
113,9826.29,0.15423,0.47934,0.94156,0.99959,0.99963,0.995,0.97261,0.33295,0.32379,0.49571,0.0077824,0.0077824,0.0077824
114,10071.8,0.1523,0.47522,0.9423,0.99954,0.99966,0.995,0.97419,0.36258,0.31606,0.54541,0.0077626,0.0077626,0.0077626
115,10317.6,0.15084,0.47663,0.94068,0.99951,0.99953,0.995,0.97514,0.39002,0.3151,0.58773,0.0077428,0.0077428,0.0077428
